identifiant fonctionnel;domaine;fonctionnalité;description du comportement réel;fichier source;fonction ou zone source;données entrée;données sortie;dépendances;cas particuliers;risques;nouveau module prévu;test prévu;critère validation;statut;différence volontaire;justification
MIS-116;Mise à jour;sauvegardes avant modification;Comportement existant audité: sauvegardes avant modification.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-116;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-117;Mise à jour;détection conflits;Comportement existant audité: détection conflits.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-117;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-118;Mise à jour;vérification après modification;Comportement existant audité: vérification après modification.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-118;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-119;Mise à jour;simulation;Comportement existant audité: simulation.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-119;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-120;Mise à jour;auto-save;Comportement existant audité: auto-save.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-120;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-121;Mise à jour;confirmation clics;Comportement existant audité: confirmation clics.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-121;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-122;Mise à jour;pause et arrêt;Comportement existant audité: pause et arrêt.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-122;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-123;Mise à jour;persistance batch;Comportement existant audité: persistance batch.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-123;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-124;Mise à jour;reprise automatique;Comportement existant audité: reprise automatique.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-124;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-125;Mise à jour;rapports JSON;Comportement existant audité: rapports JSON.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-125;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-126;Mise à jour;rapports Excel;Comportement existant audité: rapports Excel.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-126;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-127;Mise à jour;statuts erreur;Comportement existant audité: statuts erreur.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-127;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-128;Mise à jour;réinitialisations séparées;Comportement existant audité: réinitialisations séparées.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-128;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
EXC-129;Excel suivi;feuilles ordonnées;Comportement existant audité: feuilles ordonnées.;260717_Suivi_parcours_intranet_VF_colonne_subdivisee(1).xlsx;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";adapters/excel-inventory;test-caracterisation-exc-129;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
EXC-130;Excel suivi;lignes utiles;Comportement existant audité: lignes utiles.;260717_Suivi_parcours_intranet_VF_colonne_subdivisee(1).xlsx;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";adapters/excel-inventory;test-caracterisation-exc-130;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
EXC-131;Excel suivi;en-têtes;Comportement existant audité: en-têtes.;260717_Suivi_parcours_intranet_VF_colonne_subdivisee(1).xlsx;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";adapters/excel-inventory;test-caracterisation-exc-131;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
EXC-132;Excel suivi;en-têtes subdivisés;Comportement existant audité: en-têtes subdivisés.;260717_Suivi_parcours_intranet_VF_colonne_subdivisee(1).xlsx;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";adapters/excel-inventory;test-caracterisation-exc-132;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
EXC-133;Excel suivi;cellules fusionnées;Comportement existant audité: cellules fusionnées.;260717_Suivi_parcours_intranet_VF_colonne_subdivisee(1).xlsx;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";adapters/excel-inventory;test-caracterisation-exc-133;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
EXC-134;Excel suivi;colonnes répétées;Comportement existant audité: colonnes répétées.;260717_Suivi_parcours_intranet_VF_colonne_subdivisee(1).xlsx;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";adapters/excel-inventory;test-caracterisation-exc-134;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
EXC-135;Excel suivi;colonnes techniques;Comportement existant audité: colonnes techniques.;260717_Suivi_parcours_intranet_VF_colonne_subdivisee(1).xlsx;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";adapters/excel-inventory;test-caracterisation-exc-135;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
EXC-136;Excel suivi;colonnes contenu;Comportement existant audité: colonnes contenu.;260717_Suivi_parcours_intranet_VF_colonne_subdivisee(1).xlsx;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";adapters/excel-inventory;test-caracterisation-exc-136;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
EXC-137;Excel suivi;colonnes suivi;Comportement existant audité: colonnes suivi.;260717_Suivi_parcours_intranet_VF_colonne_subdivisee(1).xlsx;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";adapters/excel-inventory;test-caracterisation-exc-137;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
EXC-138;Excel suivi;onglets thématiques;Comportement existant audité: onglets thématiques.;260717_Suivi_parcours_intranet_VF_colonne_subdivisee(1).xlsx;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";adapters/excel-inventory;test-caracterisation-exc-138;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
EXC-139;Excel suivi;onglets cartographie;Comportement existant audité: onglets cartographie.;260717_Suivi_parcours_intranet_VF_colonne_subdivisee(1).xlsx;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";adapters/excel-inventory;test-caracterisation-exc-139;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
EXC-140;Excel suivi;onglets synthèse;Comportement existant audité: onglets synthèse.;260717_Suivi_parcours_intranet_VF_colonne_subdivisee(1).xlsx;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";adapters/excel-inventory;test-caracterisation-exc-140;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
EXC-141;Excel suivi;formules;Comportement existant audité: formules.;260717_Suivi_parcours_intranet_VF_colonne_subdivisee(1).xlsx;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";adapters/excel-inventory;test-caracterisation-exc-141;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
EXC-142;Excel suivi;formats;Comportement existant audité: formats.;260717_Suivi_parcours_intranet_VF_colonne_subdivisee(1).xlsx;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";adapters/excel-inventory;test-caracterisation-exc-142;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
EXC-143;Excel suivi;validations;Comportement existant audité: validations.;260717_Suivi_parcours_intranet_VF_colonne_subdivisee(1).xlsx;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";adapters/excel-inventory;test-caracterisation-exc-143;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
EXC-144;Excel suivi;colonnes inconnues/non utilisées;Comportement existant audité: colonnes inconnues/non utilisées.;260717_Suivi_parcours_intranet_VF_colonne_subdivisee(1).xlsx;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";adapters/excel-inventory;test-caracterisation-exc-144;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
